sampleID	cluster1	cluster2
AGP10164	0.001	0.999
AGP10166	0.001	0.999
AGP10169	0.001	0.999
AGP10170	0.001	0.999
AGP10172	0.001	0.999
AGP10173	0.001	0.999
AGP10174	0.011	0.989
AGP10175	0.001	0.999
AGP10176	0.001	0.999
AGP10188	0.001	0.999
AGP10189	0.004	0.996
AGP10192	0.001	0.999
AGP10194	0.003	0.997
AGP10196	0.002	0.998
AGP10200	0.003	0.997
AGP10201	0.001	0.999
AGP10212	0.001	0.999
AGP10214	0.001	0.999
AGP10235	0.001	0.999
AGP10240	0.001	0.999
AGP10246	0.001	0.999
AGP10249	0.001	0.999
AGP10252	0.001	0.999
AGP10256	0.001	0.999
AGP10261	0.001	0.999
AGP10265	0.001	0.999
AGP10266	0.001	0.999
AGP10269	0.001	0.999
AGP10282	0.001	0.999
AGP10303	0.003	0.997
AGP10311	0.001	0.999
AGP10312	0.001	0.999
AGP10323	0.0033	0.9967
AGP10325	0.001	0.999
AGP10328	0.001	0.999
AGP10333	0.001	0.999
AGP10348	0.001	0.999
AGP10361	0.003	0.997
AGP10385	0.001	0.999
AGP10403	0.001	0.999
AGP10404	0.004	0.996
AGP10409	0.001	0.999
AGP10413	0.001	0.999
AGP10418	0.001	0.999
AGP10421	0.001	0.999
AGP10433	0.001	0.999
AGP10442	0.001	0.999
AGP10443	0.002	0.998
AGP11001	0.001	0.999
AGP11002	0.001	0.999
AGP11004	0.001	0.999
AGP11005	0.001	0.999
AGP11006	0.001	0.999
AGP11007	0.003	0.997
AGP11008	0.001	0.999
AGP11009	0.001	0.999
AGP11010	0.001	0.999
AGP11011	0.002	0.998
AGP11012	0.001	0.999
AGP11013	0.001	0.999
AGP11014	0.001	0.999
AGP11016	0.001	0.999
AGP11018	0.001	0.999
AGP11021	0.001	0.999
AGP11022	0.001	0.999
AGP11023	0.001	0.999
AGP11024	0.001	0.999
AGP11025	0.002	0.998
AGP11027	0.001	0.999
AGP11029	0.001	0.999
AGP11030	0.001	0.999
AGP11031	0.001	0.999
AGP11033	0.001	0.999
AGP11034	0.001	0.999
AGP11035	0.001	0.999
AGP11037	0.003	0.997
AGP11039	0.001	0.999
AGP11040	0.001	0.999
AGP11041	0.001	0.999
AGP11042	0.001	0.999
AGP11043	0.0011	0.9989
AGP11044	0.001	0.999
AGP11045	0.001	0.999
AGP11046	0.001	0.999
AGP11047	0.001	0.999
AGP11048	0.001	0.999
AGP11052	0.001	0.999
AGP11055	0.001	0.999
AGP11056	0.001	0.999
AGP11061	0.001	0.999
AGP11065	0.001	0.999
AGP11066	0.001	0.999
AGP11067	0.001	0.999
AGP11068	0.001	0.999
AGP11069	0.001	0.999
AGP11070	0.001	0.999
AGP11072	0.001	0.999
AGP11074	0.001	0.999
AGP11075	0.005	0.995
AGP11076	0.001	0.999
AGP11077	0.001	0.999
AGP11078	0.001	0.999
AGP11079	0.0014	0.9986
AGP11080	0.001	0.999
AGP11081	0.001	0.999
AGP11082	0.002	0.998
AGP11083	0.001	0.999
AGP11084	0.001	0.999
AGP11085	0.007	0.993
AGP11086	0.001	0.999
AGP11088	0.001	0.999
AGP11090	0.001	0.999
AGP11091	0.001	0.999
AGP11092	0.001	0.999
AGP11093	0.001	0.999
AGP11094	0.0013	0.9987
AGP11095	0.001	0.999
AGP11096	0.003	0.997
AGP11097	0.001	0.999
AGP11098	0.001	0.999
AGP11099	0.001	0.999
AGP11106	0.0085	0.9915
AGP11107	0.001	0.999
AGP11108	0.001	0.999
AGP11113	0.001	0.999
AGP11114	0.001	0.999
AGP11117	0.001	0.999
AGP11121	0.001	0.999
AGP11122	0.001	0.999
AGP11123	0.005	0.995
AGP11124	0.003	0.997
AGP11125	0.001	0.999
AGP11129	0.001	0.999
AGP11130	0.001	0.999
AGP11134	0.001	0.999
AGP11135	0.001	0.999
AGP11136	0.001	0.999
AGP11137	0.001	0.999
AGP11139	0.001	0.999
AGP11141	0.001	0.999
AGP11142	0.001	0.999
AGP11144	0.001	0.999
AGP11146	0.001	0.999
AGP11147	0.001	0.999
AGP11148	0.003	0.997
AGP11150	0.001	0.999
AGP11151	0.001	0.999
AGP11154	0.001	0.999
AGP11155	0.001	0.999
AGP11156	0.001	0.999
AGP11157	0.001	0.999
AGP11158	0.001	0.999
AGP11159	0.032	0.968
AGP11161	0.001	0.999
AGP11163	0.0018	0.9982
AGP11164	0.001	0.999
AGP11168	0.001	0.999
AGP11170	0.001	0.999
AGP11171	0.001	0.999
AGP11172	0.001	0.999
AGP11173	0.001	0.999
AGP11178	0.002	0.998
AGP11180	0.001	0.999
AGP11183	0.003	0.997
AGP11187	0.002	0.998
AGP11188	0.002	0.998
AGP11189	0.001	0.999
AGP11191	0.001	0.999
AGP11193	0.001	0.999
AGP11194	0.001	0.999
AGP11197	0.001	0.999
AGP11198	0.001	0.999
AGP11199	0.002	0.998
AGP11201	0.001	0.999
AGP11204	0.001	0.999
AGP11205	0.001	0.999
AGP11208	0.001	0.999
AGP11209	0.001	0.999
AGP11211	0.001	0.999
