sampleID	cluster1	cluster2
CI25_Crozet	0.001	0.999
CI27_Crozet	0.0019	0.9981
CI28_Crozet	0.001	0.999
CI29_Crozet	0.001	0.999
CI30_Crozet	0.003	0.997
CI31_Crozet	0.001	0.999
CI32_Crozet	0.001	0.999
CI34_Crozet	0.001	0.999
CI37_Crozet	0.1071	0.8929
CI38_Crozet	0.003	0.997
CI39_Crozet	0.001	0.999
CI40_Crozet	0.001	0.999
CI42_Crozet	0.999	0.001
CI44_Crozet	0.999	0.001
CI5_Crozet	0.002	0.998
CI51_Crozet	0.998	0.002
CI52_Crozet	0.997	0.003
CI55_Crozet	0.999	0.001
CI56_Crozet	0.999	0.001
CI57_Crozet	0.998	0.002
CI61_Crozet	0.999	0.001
CI62_Crozet	0.9959	0.0041
CI63_Crozet	0.999	0.001
CI64_Crozet	0.999	0.001
CI65_Crozet	0.998	0.002
CI66_Crozet	0.999	0.001
CI67_Crozet	0.998	0.002
CI69_Crozet	0.9982	0.0018
CI70_Crozet	0.999	0.001
CI72_Crozet	0.998	0.002
CI73_Crozet	0.9982	0.0018
CI75_Crozet	0.996	0.004
CI76_Crozet	0.999	0.001
CI77_Crozet	0.996	0.004
CI78_Crozet	0.999	0.001
CI79_Crozet	0.998	0.002
KI1_Kergule	0.0301	0.9699
KI10_Kergul	0.002	0.998
KI11_Kergul	0.001	0.999
KI12L_Kergu	0.012	0.988
KI12M*_Kerg	0.001	0.999
KI12M_Kergu	0.003	0.997
KI12N_Kergu	0.0016	0.9984
KI12O_Kergu	0.0238	0.9762
KI12P_Kergu	0.0013	0.9987
KI12Q_Kergu	0.004	0.996
KI12R_Kergu	0.001	0.999
KI12S_Kergu	0.001	0.999
KI12T_Kergu	0.0216	0.9784
KI12U_Kergu	0.0011	0.9989
KI12V_Kergu	0.002	0.998
KI12W_Kergu	0.001	0.999
KI12X_Kergu	0.003	0.997
KI12Y_Kergu	0.002	0.998
KI12Z_Kergu	0.001	0.999
KI17_Kergul	0.002	0.998
KI18_Kergul	0.0024	0.9976
KI19_Kergul	0.001	0.999
KI21_Kergul	0.002	0.998
KI26_Kergul	0.0029	0.9971
KI27_Kergul	0.003	0.997
KI28_Kergul	0.006	0.994
KI29_Kergul	0.008	0.992
KI30_Kergul	0.001	0.999
KI31_Kergul	0.006	0.994
KI32_Kergul	0.0013	0.9987
KI33_Kergul	0.0146	0.9854
KI34_Kergul	0.0029	0.9971
KI35_Kergul	0.001	0.999
KI4_Kergule	0.001	0.999
KI5_Kergule	0.006	0.994
KI7_Kergule	0.004	0.996
KI793_Kergu	0.0027	0.9973
KI794_Kergu	0.003	0.997
KI795_Kergu	0.003	0.997
KI796_Kergu	0.006	0.994
KI797_Kergu	0.1624	0.8376
KI798_Kergu	0.004	0.996
KI801_Kergu	0.001	0.999
KI802_Kergu	0.004	0.996
KI805_Kergu	0.0327	0.9673
KI806_Kergu	0.005	0.995
KI807_Kergu	0.001	0.999
KI810_Kergu	0.003	0.997
KI812_Kergu	0.004	0.996
KI813_Kergu	0.004	0.996
KI814_Kergu	0.003	0.997
KI816_Kergu	0.001	0.999
HI10_Heard	0.002	0.998
HI11_Heard	0.003	0.997
HI12_Heard	0.0256	0.9744
HI14_Heard	0.001	0.999
HI16_Heard	0.0049	0.9951
HI17_Heard	0.001	0.999
HI18_Heard	0.002	0.998
HI19_Heard	0.001	0.999
HI2_Heard	0.0189	0.9811
HI20_Heard	0.002	0.998
HI21_Heard	0.001	0.999
HI22_Heard	0.012	0.988
HI23_Heard	0.0071	0.9929
HI24_Heard	0.003	0.997
HI27_Heard	0.001	0.999
HI28_Heard	0.001	0.999
HI3_Heard	0.002	0.998
HI36_Heard	0.008	0.992
HI4_Heard	0.0148	0.9852
HI5_Heard	0.004	0.996
HI7_Heard	0.003	0.997
HI9_Heard	0.001	0.999
MI1016_Macq	0.003	0.997
MI1019_Macq	0.001	0.999
MI1022_Macq	0.001	0.999
MI1023_Macq	0.002	0.998
MI1032_Macq	0.001	0.999
MI1037_Macq	0.001	0.999
MI1039_Macq	0.004	0.996
MI1052_Macq	0.002	0.998
MI1059_Macq	0.2551	0.7449
MI1062_Macq	0.002	0.998
MI1067_Macq	0.001	0.999
MI1078_Macq	0.0107	0.9893
MI1079_Macq	0.06	0.94
MI1082_Macq	0.001	0.999
MI1087_Macq	0.001	0.999
MI1092_Macq	0.0836	0.9164
MI1095_Macq	0.002	0.998
MI1107_Macq	0.001	0.999
MI1425_Macq	0.002	0.998
MI1427_Macq	0.002	0.998
MI1428_Macq	0.005	0.995
MI1434_Macq	0.006	0.994
MI1436_Macq	0.0012	0.9988
MI1440_Macq	0.001	0.999
MI1444_Macq	0.002	0.998
MI1445_Macq	0.004	0.996
MI1451_Macq	0.004	0.996
MI1454_Macq	0.001	0.999
MI1455_Macq	0.001	0.999
MI1456_Macq	0.357	0.643
MI1458_Macq	0.001	0.999
MI1459_Macq	0.002	0.998
MI1460_Macq	0.002	0.998
MI1461_Macq	0.002	0.998
MI1463_Macq	0.002	0.998
MI1465_Macq	0.001	0.999
MI1468_Macq	0.004	0.996
MI1472_Macq	0.014	0.986
MI1474_Macq	0.005	0.995
MI1478_Macq	0.001	0.999
MI1496_Macq	0.163	0.837
MI1503_Macq	0.0359	0.9641
MI1504_Macq	0.19	0.81
MI1508_Macq	0.001	0.999
MI1509_Macq	0.001	0.999
MI1510_Macq	0.0033	0.9967
MI1512_Macq	0.001	0.999
MI1516_Macq	0.001	0.999
MI1519_Macq	0.003	0.997
MI1529_Macq	0.002	0.998
MI1535_Macq	0.001	0.999
MI1539_Macq	0.944	0.056
MI1572_Macq	0.0023	0.9977
MI1574_Macq	0.002	0.998
MI1575_Macq	0.0259	0.9741
MI1577_Macq	0.001	0.999
MI1582_Macq	0.001	0.999
MI1584_Macq	0.2339	0.7661
MI1586_Macq	0.002	0.998
MI1590_Macq	0.001	0.999
MI1593_Macq	0.0021	0.9979
MI1594_Macq	0.125	0.875
MI1595_Macq	0.003	0.997
MI1597_Macq	0.002	0.998
MI1598_Macq	0.003	0.997
MI1599_Macq	0.002	0.998
MI1603_Macq	0.0022	0.9978
MI1604_Macq	0.002	0.998
MI1606_Macq	0.002	0.998
MI1607_Macq	0.0055	0.9945
MI1609_Macq	0.001	0.999
MI1613_Macq	0.002	0.998
MI1615_Macq	0.001	0.999
MI1616_Macq	0.001	0.999
MI1620_Macq	0.002	0.998
MI1621_Macq	0.001	0.999
MI1623_Macq	0.0056	0.9944
MI1625_Macq	0.002	0.998
MI1632_Macq	0.001	0.999
MI1638_Macq	0.002	0.998
MI1642_Macq	0.002	0.998
MI1644_Macq	0.1548	0.8452
MI1645_Macq	0.001	0.999
MI1646_Macq	0.008	0.992
MI1650_Macq	0.001	0.999
MI1654_Macq	0.004	0.996
MI1662_Macq	0.002	0.998
MI1663_Macq	0.0066	0.9934
MI1664_Macq	0.002	0.998
MI1665_Macq	0.002	0.998
MI1666_Macq	0.001	0.999
MI1667_Macq	0.0518	0.9482
MI1669_Macq	0.009	0.991
MI1672_Macq	0.4126	0.5874
MI1675_Macq	0.002	0.998
MI1680_Macq	0.003	0.997
MI1685_Macq	0.002	0.998
MI1688_Macq	0.001	0.999
MI2246_Macq	0.001	0.999
MI2247_Macq	0.326	0.674
MI2248_Macq	0.003	0.997
MI2249_Macq	0.001	0.999
MI2250_Macq	0.002	0.998
MI2251_Macq	0.002	0.998
MI2252_Macq	0.002	0.998
MI2253_Macq	0.002	0.998
MI2254_Macq	0.003	0.997
MI2255_Macq	0.001	0.999
MI2256_Macq	0.003	0.997
MI2258_Macq	0.004	0.996
MI2259_Macq	0.0065	0.9935
MI2260_Macq	0.001	0.999
MI2261_Macq	0.006	0.994
MI2262_Macq	0.0166	0.9834
MI2264_Macq	0.1168	0.8832
MI2265_Macq	0.001	0.999
MI2267_Macq	0.002	0.998
MI2268_Macq	0.2302	0.7698
MI2269_Macq	0.0099	0.9901
MI2270_Macq	0.001	0.999
MI1117_Trop	0.998	0.002
MI1118_Trop	0.999	0.001
MI1120_Trop	0.6717	0.3283
MI1122_Trop	0.999	0.001
MI1127_Trop	0.999	0.001
MI1171_Trop	0.9838	0.0162
MI1172_Trop	0.999	0.001
MI1511_Trop	0.999	0.001
MI1514_Trop	0.999	0.001
MI1520_Trop	0.999	0.001
MI1527_Trop	0.9191	0.0809
MI1528_Trop	0.9982	0.0018
MI1540_Trop	0.999	0.001
MI1541_Trop	0.998	0.002
MI1542A_Tro	0.996	0.004
MI1542B_Tro	0.998	0.002
MI1543_Trop	0.998	0.002
MI1544_Trop	0.999	0.001
MI1545_Trop	0.9401	0.0599
MI1546_Trop	0.999	0.001
MI1547_Trop	0.999	0.001
MI1549_Trop	0.999	0.001
MI1550_Trop	0.999	0.001
MI1551_Trop	0.999	0.001
MI1552_Trop	0.999	0.001
MI1553_Trop	0.999	0.001
MI1657_Trop	0.999	0.001
MI1658_Trop	0.999	0.001
MI1678_Trop	0.999	0.001
MI1689_Trop	0.997	0.003
MI1692_Trop	0.999	0.001
MI1695_Trop	0.999	0.001
MI1700_Trop	0.999	0.001
MI1701_Trop	0.999	0.001
MI1703_Trop	0.999	0.001
MI1704_Trop	0.998	0.002
MI1705_Trop	0.999	0.001
MI1706_Trop	0.972	0.028
MI1707_Trop	0.9559	0.0441
MI1709_Trop	0.999	0.001
MI1711_Trop	0.998	0.002
MI1986_Trop	0.999	0.001
MI1993_Trop	0.998	0.002
MI1998_Trop	0.999	0.001
MI2012_Trop	0.999	0.001
MI2014_Trop	0.998	0.002
MI2016_Trop	0.998	0.002
MI2017_Trop	0.999	0.001
MI2019_Trop	0.998	0.002
MI2024_Trop	0.999	0.001
MI2025_Trop	0.999	0.001
MI2035_Trop	0.99	0.01
MI2038_Trop	0.999	0.001
MI2040_Trop	0.999	0.001
MI2041_Trop	0.999	0.001
MI2351_Trop	0.7522	0.2478
MI2352_Trop	0.999	0.001
MI2362_Trop	0.999	0.001
MI2365_Trop	0.999	0.001
MI2366_Trop	0.999	0.001
MI2367_Trop	0.999	0.001
MI2368_Trop	0.999	0.001
MI2370_Trop	0.999	0.001
MI2372_Trop	0.9949	0.0051
MI2373_Trop	0.995	0.005
MI2374_Trop	0.999	0.001
MI2375_Trop	0.999	0.001
MI2376_Trop	0.998	0.002
MI2377_Trop	0.752	0.248
MI2380_Trop	0.999	0.001
MI2381_Trop	0.999	0.001
MI2382_Trop	0.999	0.001
MI2383_Trop	0.999	0.001
MI2387_Trop	0.998	0.002
MI2388_Trop	0.997	0.003
MI2390_Trop	0.998	0.002
MI2391_Trop	0.999	0.001
MI2392_Trop	0.998	0.002
MI2397_Trop	0.998	0.002
MI2398_Trop	0.8845	0.1155
MI2399_Trop	0.999	0.001
MI2401_Trop	0.995	0.005
MI2419_Trop	0.999	0.001
MI299_Tropi	0.999	0.001
MI351_Tropi	0.999	0.001
MI354_Tropi	0.997	0.003
MI357_Tropi	0.761	0.239
MI361_Tropi	0.999	0.001
MI362_Tropi	0.99	0.01
MI364_Tropi	0.999	0.001
MI372_Tropi	0.995	0.005
